name,price,speed,modules,price_per_gb,first_word_latency,cas_latency,planks,size
TEAMGROUP T-Create Expert 96 GB,409.99,"[5, 6800]","[2, 48]",4.271,10.588,36.0,2,96
G.Skill Ripjaws V 16 GB,38.99,"[4, 3200]","[2, 8]",2.437,10.0,16.0,2,16
Kingston FURY Beast RGB 64 GB,229.99,"[5, 5600]","[2, 32]",3.594,14.286,40.0,2,64
G.Skill Ripjaws V 128 GB,219.99,"[4, 2666]","[4, 32]",1.719,13.503,18.0,2,128
Corsair Vengeance RGB RS 16 GB,66.98,"[4, 3600]","[2, 8]",4.186,10.0,18.0,2,16
Corsair Vengeance 64 GB,274.99,"[5, 6400]","[4, 16]",4.297,10.0,32.0,2,64
Crucial CT2K16G56C46U5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,16.429,46.0,2,32
G.Skill Aegis 32 GB,54.99,"[4, 2666]","[2, 16]",1.718,14.254,19.0,2,32
Kingston Renegade Silver 32 GB,140.65,"[5, 6000]","[2, 16]",4.395,10.667,32.0,2,32
G.Skill Aegis 32 GB,74.98,"[4, 3200]","[4, 8]",2.343,10.0,16.0,2,32
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,"[3, 1333]","[2, 4]",6.249,13.503,9.0,2,8
G.Skill Trident Z Neo 64 GB,149.99,"[4, 3600]","[2, 32]",2.344,10.0,18.0,2,64
Patriot Viper Steel 64 GB,119.99,"[4, 3600]","[2, 32]",1.875,10.0,18.0,2,64
TEAMGROUP Elite Plus 8 GB,19.98,"[5, 4800]","[1, 8]",2.498,16.667,40.0,2,8
OLOy WarHawk RGB 16 GB,46.99,"[4, 3200]","[2, 8]",2.937,10.0,16.0,2,16
OLOy Blade RGB 32 GB,127.99,"[5, 6000]","[2, 16]",4.0,10.667,32.0,2,32
Kingston FURY Beast 16 GB,69.98,"[5, 5200]","[2, 8]",4.374,13.846,36.0,2,16
Corsair Vengeance 96 GB,294.99,"[5, 5600]","[2, 48]",3.073,14.286,40.0,2,96
Corsair Vengeance LPX 16 GB,54.34,"[4, 3200]","[2, 8]",3.396,10.0,16.0,2,16
PNY XLR8 32 GB,60.99,"[4, 3600]","[2, 16]",1.906,10.0,18.0,2,32
TEAMGROUP T-Force Xtreem ARGB 32 GB,149.99,"[4, 3600]","[2, 16]",4.687,7.778,14.0,2,32
TEAMGROUP T-Force Vulcan 32 GB,79.99,"[5, 6000]","[2, 16]",2.5,12.667,38.0,2,32
Crucial Ballistix 16 GB,74.98,"[4, 3000]","[2, 8]",4.686,10.0,15.0,2,16
Neo Forza FAYE 32 GB,55.49,"[4, 4000]","[2, 16]",1.734,9.5,19.0,2,32
G.Skill Flare X5 32 GB,94.99,"[5, 5600]","[2, 16]",2.968,12.857,36.0,2,32
Corsair Dominator Platinum RGB 64 GB,278.26,"[5, 5600]","[4, 16]",4.348,12.857,36.0,2,64
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"[5, 6800]","[2, 16]",3.906,10.0,34.0,2,32
ADATA XPG LANCER RGB 32 GB,99.99,"[5, 5200]","[2, 16]",3.125,14.615,38.0,2,32
Corsair Vengeance 32 GB,139.99,"[5, 6800]","[2, 16]",4.375,11.765,40.0,2,32
Corsair Dominator Platinum RGB 64 GB,264.99,"[4, 3600]","[4, 16]",4.14,10.0,18.0,2,64
Corsair Dominator Platinum 32 GB,1674.47,"[4, 2666]","[4, 8]",52.327,11.253,15.0,2,32
Corsair Dominator Platinum RGB 64 GB,272.99,"[5, 6000]","[2, 32]",4.265,10.0,30.0,2,64
Corsair Vengeance RGB Pro 16 GB,94.99,"[4, 4000]","[2, 8]",5.937,9.0,18.0,2,16
G.Skill Aegis 8 GB,22.7,"[4, 3200]","[1, 8]",2.837,10.0,16.0,2,8
G.Skill Trident Z Royal 32 GB,99.99,"[4, 3200]","[2, 16]",3.125,10.0,16.0,2,32
Corsair Vengeance 64 GB,189.99,"[5, 5600]","[2, 32]",2.969,14.286,40.0,2,64
Kingston FURY Beast RGB 16 GB,88.42,"[5, 5600]","[2, 8]",5.526,12.857,36.0,2,16
G.Skill Trident Z5 RGB 64 GB,217.99,"[5, 6000]","[2, 32]",3.406,10.0,30.0,2,64
Mushkin Enhanced Redline Stiletto 64 GB,102.99,"[4, 3600]","[2, 32]",1.609,10.0,18.0,2,64
Kingston Server Premier 64 GB,169.99,"[4, 3200]","[1, 64]",2.656,13.75,22.0,2,64
Crucial CT16G56C46U5 16 GB,47.99,"[5, 5600]","[1, 16]",2.999,16.429,46.0,2,16
Corsair Vengeance 64 GB,312.74,"[5, 5600]","[4, 16]",4.887,12.857,36.0,2,64
Kingston KTH-PL426LQ/64G 64 GB,179.0,"[4, 2666]","[1, 64]",2.797,14.254,19.0,2,64
TEAMGROUP T-Force Vulcan 64 GB,143.99,"[5, 5200]","[2, 32]",2.25,15.385,40.0,2,64
G.Skill Trident Z Royal 16 GB,76.99,"[4, 3600]","[2, 8]",4.812,10.0,18.0,2,16
Crucial CT8G4DFS824A 8 GB,20.26,"[4, 2400]","[1, 8]",2.533,14.167,17.0,2,8
Crucial CT4G4DFS824A 4 GB,14.99,"[4, 2400]","[1, 4]",3.748,14.167,17.0,2,4
G.Skill F4-3200C16D-32GTZ 32 GB,70.91,"[4, 3200]","[2, 16]",2.216,10.0,16.0,2,32
Mushkin Enhanced Redline Stiletto 16 GB,54.99,"[4, 3600]","[2, 8]",3.437,7.778,14.0,2,16
G.Skill Trident Z 32 GB,118.99,"[5, 6400]","[2, 16]",3.718,10.0,32.0,2,32
Corsair Vengeance 32 GB,114.99,"[5, 6000]","[2, 16]",3.593,13.333,40.0,2,32
Corsair Vengeance RGB Pro SL 32 GB,94.99,"[4, 3200]","[2, 16]",2.968,10.0,16.0,2,32
