name,price,type,efficiency,wattage,modular
Deepcool PQ650M,103.99,ATX,gold,650,Full
Montech TITAN GOLD 1200W,209.99,ATX,gold,1200,Full
Vetroo GV1000,155.99,ATX,gold,1000,Full
Corsair VS450,399.99,ATX,plus,450,False
SeaSonic FOCUS,178.17,ATX,platinum,750,Full
Phanteks Revolt X,213.99,ATX,platinum,1000,Full
Asus ROG LOKI,198.68,SFX,platinum,750,Full
Antec High Current Gamer Gold,169.92,ATX,gold,750,Full
Thermaltake Toughpower SFX,152.51,SFX,gold,750,Full
Gigabyte UD1000GM PG5,270.39,ATX,gold,1000,Full
SHARKOON SilentStorm Cool Zero 650,141.69,ATX,gold,650,Full
Corsair HX850i,459.99,ATX,platinum,850,Full
Silverstone SX500-G,114.99,SFX,gold,500,Full
Silverstone SX700-PT,165.26,SFX,platinum,700,Full
Corsair CX500M,179.99,ATX,bronze,500,Semi
Asus TUF Gaming B,149.99,ATX,bronze,550,False
Deepcool DA600N,76.99,ATX,bronze,600,False
EVGA SuperNOVA 750 P2,229.99,ATX,platinum,750,Full
Cougar GEX,84.99,ATX,gold,650,Full
Cougar VTE,69.98,ATX,bronze,600,False
Corsair CX650 (2017),157.44,ATX,bronze,650,False
SeaSonic G12 GM,197.0,ATX,gold,550,Semi
EVGA 1000 GQ,325.98,ATX,gold,1000,Semi
EVGA 750 B5,144.99,ATX,bronze,750,Full
SeaSonic FOCUS,149.98,ATX,platinum,650,Full
Corsair RM650x,213.2,ATX,gold,650,Full
SeaSonic SSP-300SFG,89.99,SFX,gold,300,False
PowerSpec GFM,109.99,ATX,gold,750,Full
SeaSonic PRIME,315.0,ATX,gold,1000,Full
EVGA SuperNOVA 850 G+,249.99,ATX,gold,850,Full
FSP Group Dagger Pro,134.99,SFX,gold,650,Full
EVGA SuperNOVA 1300 G+,359.98,ATX,gold,1300,Full
SeaSonic FOCUS,137.98,ATX,gold,750,Semi
EVGA SuperNOVA 650 G7,129.99,ATX,gold,650,Full
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full
Thermaltake Toughpower GF1 ARGB,207.61,ATX,gold,850,Full
GAMDIAS KRATOS P1 G,89.99,ATX,gold,750,False
Corsair TX850M Gold,316.77,ATX,gold,850,Semi
SeaSonic PRIME Fanless,298.98,ATX,titanium,700,Full
Cooler Master V850 Gold i,134.99,ATX,gold,850,Full
SeaSonic PRIME,189.99,ATX,gold,850,Full
Super Flower Leadex Platinum SE,149.99,ATX,platinum,1000,Full
NZXT E850,159.99,ATX,gold,850,Full
Super Flower Leadex Titanium,319.99,ATX,titanium,1000,Full
PowerSpec PS 650GSM,94.99,ATX,gold,650,Semi
Silverstone SST-TX300,74.98,TFX,bronze,300,False
Antec NeoECO Gold,228.0,ATX,gold,750,Full
Montech TITAN GOLD 1000W,189.92,ATX,gold,1000,Full
Thermaltake Smart RGB,97.21,ATX,plus,600,False
Silverstone Strider Platinum S,265.07,ATX,platinum,1000,Full
Silverstone Essential,94.99,ATX,gold,750,False
Corsair RM750x White,279.0,ATX,gold,750,Full
SeaSonic FOCUS Gold,137.98,ATX,gold,750,Semi
Silverstone SFX,94.16,SFX,bronze,450,False
EVGA SuperNOVA 1000 G3,379.99,ATX,gold,1000,Full
Deepcool DA700N,87.99,ATX,bronze,700,False
Super Flower LEADEX VII XG,154.99,ATX,gold,1000,Full
be quiet! Straight Power 11 1000W,302.0,ATX,gold,1000,Full
Corsair HX750,263.64,ATX,gold,750,Semi
Super Flower Leadex Platinum,134.99,ATX,platinum,850,Full
EVGA SuperNOVA 650 G+,174.94,ATX,gold,650,Full
Razer Katana Chroma,389.99,ATX,platinum,1200,Full
SeaSonic FOCUS Gold,125.82,ATX,gold,650,Semi
SeaSonic CORE GM,200.09,ATX,gold,500,Semi
SeaSonic PRIME PX,197.98,ATX,platinum,750,Full
Corsair HX750i,459.99,ATX,platinum,750,Full
Deepcool PX-G,208.68,ATX,gold,1000,Full
SeaSonic PRIME,221.19,ATX,gold,750,Full
