cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core i5-9400T @ 1.80GHz,182.0,7819,42.96,2057,11.3,35.0,223.39,6,2019,LGA1151,Desktop
AMD Ryzen 5 1400,109.65,7783,70.98,1904,17.36,65.0,119.74,4,2017,AM4,Desktop
Intel Core i5-8500T @ 2.10GHz,247.53,7699,31.11,2045,8.26,35.0,219.98,6,2018,LGA1151,Desktop
Intel Core i3-9350K @ 4.00GHz,293.22,7694,26.24,2823,9.63,91.0,84.55,4,2020,LGA1151,Desktop
AMD Ryzen 3 2300X,178.09,7566,42.48,2364,13.28,65.0,116.4,4,2019,AM4,Desktop
Intel Core i7-7700T @ 2.90GHz,390.0,7561,19.39,2156,5.53,35.0,216.04,4,2017,LGA1151,Desktop
Intel Core i5-8400T @ 1.70GHz,239.84,7447,31.05,1924,8.02,35.0,212.77,6,2018,LGA1151,Desktop
Intel Core i3-9320 @ 3.70GHz,217.97,7358,33.76,2711,12.44,62.0,118.68,4,2019,LGA1151,Desktop
Intel Core i3-9350KF @ 4.00GHz,207.36,7318,35.29,2666,12.86,91.0,80.42,4,2019,LGA1151,Desktop
Intel Core i3-9300 @ 3.70GHz,194.99,7279,37.33,2666,13.67,62.0,117.4,4,2019,LGA1151,Desktop
AMD Ryzen 3 3200G,144.99,7188,49.57,2218,15.3,65.0,110.58,4,2019,AM4,Desktop
AMD Ryzen 3 1300X,115.0,6925,60.22,2096,18.23,65.0,106.54,4,2017,AM4,Desktop
Intel Pentium Gold G7400,66.99,6896,102.94,3084,46.03,46.0,149.92,2,2022,"LGA1700,BGA1700",Desktop
Intel Core i5-7600K @ 3.80GHz,165.99,6869,41.38,2566,15.46,91.0,75.49,4,2017,LGA1151,Desktop
Intel Core i3-8350K @ 4.00GHz,206.16,6862,33.29,2489,12.07,91.0,75.41,4,2017,LGA1151,Desktop
AMD Ryzen 3 2200G,124.0,6781,54.69,2060,16.61,65.0,104.33,4,2018,AM4,Desktop
Intel Core i3-9100F @ 3.60GHz,124.0,6768,54.58,2519,20.32,65.0,104.12,4,2019,LGA1151,Desktop
Intel Core i5-7640X @ 4.00GHz,65.0,6675,102.69,2511,38.63,112.0,59.6,4,2017,LGA2066,Desktop
Intel Core i3-9100 @ 3.60GHz,169.96,6625,38.98,2519,14.82,65.0,101.93,4,2019,LGA1151,Desktop
Intel Core i5-7600 @ 3.50GHz,169.99,6598,38.81,2476,14.57,65.0,101.5,4,2017,LGA1151,Desktop
AMD Ryzen 3 1200,103.55,6304,60.88,1927,18.61,65.0,96.98,4,2017,AM4,Desktop
Intel Core i3-8100 @ 3.60GHz,169.99,6163,36.26,2240,13.18,65.0,94.82,4,2017,LGA1151,Desktop
Intel Core i3-9300T @ 3.20GHz,143.0,6162,43.09,2318,16.21,35.0,176.07,4,2019,LGA1151,Desktop
Intel Core i3-8300 @ 3.70GHz,265.7,6136,23.1,2262,8.51,62.0,98.97,4,2018,LGA1151,Desktop
Intel Core i5-7600T @ 2.80GHz,298.0,6073,20.38,2231,7.49,35.0,173.5,4,2017,LGA1151,Desktop
Intel Core i3-8300T @ 3.20GHz,158.95,5827,36.66,2005,12.62,25.0,233.07,4,2018,LGA1151,Desktop
Intel Core i5-7400 @ 3.00GHz,175.0,5499,31.42,2103,12.01,65.0,84.6,4,2017,LGA1151,Desktop
Intel Core i3-9100T @ 3.10GHz,122.0,5419,44.42,2106,17.26,35.0,154.82,4,2019,LGA1151,Desktop
